iter	Passed	Remaining
0	76	76732
1	83	41581
2	87	29129
3	93	23250
4	97	19348
5	101	16824
6	104	14872
7	113	14026
88	134	1484299	138	13662110	142	12781111	148	1223912	144	11001
13	149	10494
14	152	10020
115	168	103816	164	9486
17	173	9445
18	179	9246
19	182	8942
20	184	8593
21	187	8317
22	196	8357
23	200	8159
24	204	7982
25	213	7987
26	216	7809
27	222	7717
28	227	7622
29	29	251	8116
30	256	8027
31	262	7930
32	268	7858
33	274	7802
34	277	7642
35	281	7539
36	287	7475
37	291	7369
38	298	7364
39	302	7269
40	306	7164
41	312	7129
42	318	7088
43	324	7059
44	330	7010
45	333	6906
46	336	6828
47	342	6748	48	348	6771
49	355	6756
50	361	6732
51	367	6701
52	373	6673
53	378	6622
54	382	6570
55	386	6517
56	390	6454
57	395	6421
58	399	6369
59	406	6368
60	411	6337
61	415	6291
62	419	6233
63	421	6164	64	428	6162
65	430	6099
66	435	6063
67	437	5968	68	440	5969	69	445	5970	445	5833
71	450	5811
72	462	5878
73	469	5869
74	480	5926
75	486	5916
76	498	5973
77	514	6080
78	517	6032
79	522	6007
80	526	5971
81	532	5965
82	538	5948
83	544	5940
84	548	5903
85	553	5886
86	557	5851
87	562	5831
88	568	5819
89	572	5792
90	580	5795
91	585	5775
92	589	5750
93	594	5726
94	598	5705
95	602	5673
96	607	5652
97	610	5622
98	621	5651
99	627	5644
100	631	5619
101	637	5608
102	648	5647
103	655	5649
104	662	5648
105	664	5605
106	671	5604
107	675	5576
108	682	5574
109	687	5560
110	693	5556
111	697	5533
112	704	5527
113	707	5499
114	712	5480
115	716	5462
116	719	5433
117	727	5436
118	731	5418
119	735	5392
120	745	5416
121	751	5411
122	760	5422
123	764	5403
124	772	5405
125	779	5404
126	781	5372
127	786	5359
128	790	5335
129	799	5350
130	805	5342
131	813	5350
132	824	5377
133	829	5360
134	834	5346
135	841	5344
136	846	5332
137	852	5326
138	856	5307
139	862	5298
140	869	5296
141	880	5321
142	889	5333
143	900	5351
144	907	5353
145	913	5340
146	919	5333
147	931	5362
148	944	5396
149	960	5445
150	969	5450
151	979	5466
152	990	5481
153	999	5491
154	1006	5487
155	1010	5464
156	1017	5461
157	1025	5466
158	1028	5441
159	1033	5427
160	1035	5396
